City_ID,Name,Year,Month,Month created (num),County,Acres burned,Duration (days),Lat,Lon
1108,Nelson Fire,2018,August,8,Solano,2162.0,147.0,38.431278,-122.043747
1109,Marcel Fire,2018,August,8,Kern,34.0,140.0,35.17156,-118.51651
1110,Oak Fire,2018,August,8,Nevada,16.0,145.0,39.10494,-121.07039
1111,Cloverdale Fire,2018,August,8,San Diego,100.0,144.0,33.0971179,-117.0242529
1112,Gulch Fire,2018,August,8,Monterey,700.0,146.0,36.00912,-120.82226
1113,River Fire,2018,August,8,Tulare,496.0,142.0,35.79012,-118.7393
1114,Stone Fire,2018,August,8,Modoc,39387.0,142.0,41.38544,-121.04386
1115,Castro Fire,2018,August,8,Alameda,48.0,131.0,37.69926,-122.02805
1116,Call Fire,2018,August,8,Kern,367.0,139.0,35.51777778,-118.6525
1117,Gorge Fire,2018,August,8,Shasta,155.0,138.0,40.36888889,-122.89055556
1118,Front Fire,2018,August,8,Santa Barbara,1014.0,138.0,35.11416667,-120.09222222
1119,Keller Fire,2018,August,8,Riverside,10.0,138.0,33.627006,-117.171731
1120,Eastman Fire,2018,August,8,Madera,289.0,134.0,37.197039,-120.002619
1121,Country Fire,2018,August,8,Riverside,32.0,132.0,33.97902,-117.20534
1122,Redinger Fire,2018,August,8,Madera,88.0,130.0,37.179167,-119.431667
1123,Cache Fire,2018,August,8,Lake,103.0,131.0,39.02017,-122.57496
1124,Winchester Fire,2018,August,8,Riverside,36.0,130.0,33.640051,-117.085354
1125,Fork Fire,2018,September,9,Los Angeles,166.0,117.0,34.2325,-117.846111
1126,Grade Fire,2018,August,8,Lake,60.0,127.0,38.8275,-122.3625
1127,Ogilvy Fire,2018,September,9,Santa Barbara,172.0,125.0,34.576944,-119.61416
1128,Essex Fire,2018,September,9,Modoc,15.0,124.0,41.52123,-120.72362
1129,Sterling,2018,August,8,San Bernardino,125.0,126.0,34.15475,-117.244366
1130,Kelsey Fire,2018,September,9,Lake,24.0,123.0,38.91842,-122.85276
1131,North Fire,2018,September,9,Placer,1120.0,123.0,39.268611,-120.658333
1132,Sliger Fire,2018,September,9,El Dorado,150.0,122.0,38.94388,-120.92611
1133,Ranchera Fire,2018,September,9,Shasta,13.0,122.0,40.678889,-122.400556
1134,Tulloch Fire,2018,September,9,Tuolumne,573.0,118.0,37.83388,-120.61746
1135,Kerlin Fire,2018,September,9,Trinity,1751.0,122.0,40.616251,-123.52019
1136,Boot Fire,2018,September,9,Mono,6974.0,122.0,38.347395,-119.45186
1137,Metz Fire,2018,September,9,Monterey,411.0,113.0,36.35502,-121.1563
1138,Irving Fire,2018,September,9,Marin,152.0,116.0,38.02447,-122.727
1139,Water Fire,2018,September,9,Kern,200.0,114.0,34.91482,-118.92485
1140,Soboba Fire,2018,September,9,Riverside,25.0,112.0,33.80406,-116.93188
1141,Meyers Fire,2018,September,9,El Dorado,12.0,106.0,38.7448,-120.65672
1142,Charlie Fire,2018,September,9,Los Angeles,3380.0,104.0,34.48229,-118.60858
1143,Oak Fire,2018,September,9,Madera,360.0,104.0,37.38789,-119.68912
1144,Copper Fire,2018,September,9,Lassen,53.0,104.0,40.33642,-120.93005
1145,Wilson Fire,2018,September,9,Tehama,261.0,98.0,40.34256,-121.43025
1146,Silver Fire,2018,September,9,Shasta,76.0,98.0,40.5939,-122.17173
1147,Quimby Fire,2018,September,9,Santa Clara,30.0,103.0,37.33563,-121.75815
1148,Nimshew Fire,2018,September,9,Butte,33.0,102.0,39.84151,-121.62168
1149,Shandon Fire,2018,September,9,San Luis Obispo,80.0,97.0,-120.258,-120.258
1150,Keenbrook Fire,2018,September,9,San Bernardino,53.0,100.0,34.24138,-117.42431
1151,Nacimiento Fire,2018,October,10,Monterey,150.0,94.0,35.97677,-121.24898
1152,Eagle Fire,2018,October,10,Fresno,32.0,94.0,36.938674,-119.3127769
1153,Sun Fire,2018,October,10,Tehama,3889.0,89.0,40.22027778,-122.18
1154,Park Fire,2018,October,10,Santa Clara,63.0,89.0,37.1769444,-121.68694444
1155,Iron Gate Fire,2018,October,10,Siskiyou,15.0,86.0,41.94046,-122.43933
1156,Winters Fire,2018,October,10,Solano,160.0,84.0,38.45673,-121.94658
1157,Priest Fire,2018,October,10,Monterey,167.0,83.0,36.18401,-120.69955
1158,Tower Fire,2018,October,10,Shasta,12.0,82.0,40.49618,-122.51597
1159,Masonic Fire,2018,October,10,Shasta,38.0,82.0,40.60866,-122.38366
1160,Powellton Fire,2018,October,10,Butte,10.0,81.0,39.93427,-121.54103
1161,Camino Fire,2018,October,10,San Luis Obispo,58.0,77.0,35.17693,-120.48861
1162,Market Fire,2018,October,10,Tulare,120.0,72.0,36.47766,-119.10433
1163,June Fire,2018,October,10,Butte,550.0,66.0,39.36529,-121.51707
1164,Rincon Fire,2018,November,11,Santa Cruz,17.0,62.0,37.0125,-122.046
1165,Brushy Fire,2018,November,11,Mendocino,35.0,57.0,39.62194,-123.28774
1166,Camp Fire,2018,November,11,Butte,153336.0,17.0,39.8134,-121.4347
1167,Adams Fire,2018,November,11,Tehama,60.0,60.0,40.346652,-122.308479
1168,Horn Fire,2018,November,11,Lassen,88.0,57.0,40.83116,-120.19336
1169,Nurse Fire,2018,November,11,Solano,1500.0,57.0,38.21396,-121.9424
1170,Hill Fire,2018,November,11,Ventura,4381.0,57.0,34.22685,-118.93444
1171,Pilot Fire,2019,January,1,Humboldt,30.0,14.0,40.61805556,-123.67555556
1172,Honey Flooding,2018,November,11,Butte,0.0,36.0,39.71217,-121.77385
1173,Morgan Fire,2018,November,11,Contra Costa,20.0,50.0,37.81111,-121.7944
1174,Green Hill Fire,2018,November,11,Humboldt,10.0,53.0,40.888785,-124.001849
1175,Sierra Fire,2018,November,11,San Bernardino,147.0,52.0,34.18075,-117.43184
1176,Niles Fire,2018,November,11,Alameda,20.0,51.0,37.61158,-121.94182
1177,Briggs Fire,2018,November,11,Ventura,150.0,50.0,34.30166667,-119.09916667
1178,Peak Fire,2018,November,11,Ventura,186.0,53.0,34.26734825,-118.64381589
1179,Bear Fire ,2018,November,11,Santa Cruz,10.0,49.0,37.12857,-122.12036
